country,score,code
Brazil,7.6,BRA
Burundi,7.4,BDI
China,7.6,CHN
Colombia,7.6,COL
Costa Rica,7.6,CRI
Cote d?Ivoire,7.1,CIV
Ecuador,7.7,ECU
El Salvador,7.6,SLV
Ethiopia,8,ETH
Guatemala,7.5,GTM
Haiti,7.1,HTI
Honduras,7.2,HND
Indonesia,7.5,IDN
Japan,7.8,JPN
Kenya,7.8,KEN
Laos,7.4,
Malawi,7.4,MWI
Mauritius,7.2,MUS
Mexico,7.4,MEX
Myanmar,7.2,MMR
Nicaragua,7.3,NIC
Panama,7.7,PAN
Papua New Guinea,8.2,PNG
Peru,7.5,PER
Philippines,7.3,PHL
Rwanda,7.8,RWA
Taiwan,7.4,TWN
"Tanzania, United Republic Of",7.5,TZA
Thailand,7.5,THA
Uganda,7.7,UGA
United States,8,USA
United States (Puerto Rico),7.6,PRI
Vietnam,7.5,VNM
Zambia,7.4,ZMB